baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
L1PA10_dup100:L1PA10:L1:LINE	0.149871585239375	0.550681247688702	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1015:L1PA10:L1:LINE	0.149380158218572	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1016:L1PA10:L1:LINE	0.209986841649145	-1.37287210395379	4.0804728567969	-0.336449267556571	0.736532102458275	NA
L1PA10_dup1018:L1PA10:L1:LINE	0.149380158218572	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup101:L1PA10:L1:LINE	0.128616810416482	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1020:L1PA10:L1:LINE	0.149380158218572	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1023:L1PA10:L1:LINE	0.149871585239375	0.550681247688702	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup102:L1PA10:L1:LINE	7.78921551157282	6.22168557441578	1.47117541147131	4.22905761332263	2.34672249011527e-05	0.000477622554571191
L1PA10_dup1030:L1PA10:L1:LINE	0.35985842688852	-0.411091424524929	4.0804728567969	-0.100746026000435	0.919752073750199	NA
L1PA10_dup1035:L1PA10:L1:LINE	0.598503486915894	2.51300421107962	3.47331614758124	0.723517268311333	0.469362148843008	NA
L1PA10_dup103:L1PA10:L1:LINE	0.983862491144536	3.23783476843713	2.64062162431231	1.22616384665878	0.220137023307412	NA
L1PA10_dup1040:L1PA10:L1:LINE	5.23384434421773	-0.986398485522862	1.17507781920224	-0.839432477920932	0.401226664967171	0.692417864876948
L1PA10_dup1042:L1PA10:L1:LINE	1.69118539917477	-1.50062431549782	2.0723839710525	-0.724105347492963	0.469001061875248	0.751518865235809
L1PA10_dup1052:L1PA10:L1:LINE	0.29974317047875	1.51243819683769	4.03222710146576	0.375087553051737	0.707595353627005	NA
L1PA10_dup1053:L1PA10:L1:LINE	7.65765013903152	6.19694540198137	1.47926308683437	4.18921113974585	2.79925857345499e-05	0.00055646715789632
L1PA10_dup1056:L1PA10:L1:LINE	0.128616810416482	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1058:L1PA10:L1:LINE	0.149380158218572	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1062:L1PA10:L1:LINE	0.299251743457947	1.51037498137967	4.0324037714881	0.374559460552802	0.707988127383344	NA
L1PA10_dup1063:L1PA10:L1:LINE	1.04540332941441	2.10421163706383	2.49921603907002	0.841948676772587	0.399816682010101	0.691793093492739
L1PA10_dup1064:L1PA10:L1:LINE	0.576757285072198	2.46405230614708	3.54027890473189	0.696005137576495	0.486425612326395	NA
L1PA10_dup1068:L1PA10:L1:LINE	0.209986841649145	-1.37287210395379	4.0804728567969	-0.336449267556571	0.736532102458275	NA
L1PA10_dup1075:L1PA10:L1:LINE	1.09220738077973	3.39260147473988	2.55600956822046	1.32730390250529	0.184408173447544	0.451353609965113
L1PA10_dup1076:L1PA10:L1:LINE	0.448631901676519	2.09710167355152	3.91172745621071	0.536106284762226	0.591885096835755	NA
L1PA10_dup1077:L1PA10:L1:LINE	0.149871585239375	0.550681247688702	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1081:L1PA10:L1:LINE	0.209986841649145	-1.37287210395379	4.0804728567969	-0.336449267556571	0.736532102458275	NA
L1PA10_dup1082:L1PA10:L1:LINE	2.45935786063218	4.55562854116212	1.92757728139764	2.36339605427334	0.0181083057602007	0.110167901674916
L1PA10_dup1083:L1PA10:L1:LINE	15.3113788689889	2.2271863146998	0.888949039074604	2.50541506520813	0.0122307769636313	0.0823605074539413
L1PA10_dup1085:L1PA10:L1:LINE	56.7990335216139	-23.4874157188626	3.90765543217471	-6.01061586072117	NA	NA
L1PA10_dup1090:L1PA10:L1:LINE	0.406613779051536	1.96778915889763	3.99866911774614	0.492111025181993	0.62264085863163	NA
L1PA10_dup1095:L1PA10:L1:LINE	0.35985842688852	-0.411091424524929	4.0804728567969	-0.100746026000435	0.919752073750199	NA
L1PA10_dup1099:L1PA10:L1:LINE	0.149380158218572	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup10:L1PA10:L1:LINE	0.341855287937605	-0.411091424524928	4.0804728567969	-0.100746026000435	0.9197520737502	NA
L1PA10_dup1100:L1PA10:L1:LINE	0.128616810416482	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1101:L1PA10:L1:LINE	0.807998901544237	1.54726876071611	2.92772512105942	0.5284883985817	0.597160397161736	NA
L1PA10_dup1109:L1PA10:L1:LINE	0.149871585239375	0.550681247688702	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1114:L1PA10:L1:LINE	0.149871585239375	0.550681247688702	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1117:L1PA10:L1:LINE	0.401970544347375	-2.34524982953946	4.03147726594218	-0.581734603677932	0.560745459468476	NA
L1PA10_dup1118:L1PA10:L1:LINE	3.19305365993267	-0.25913374364313	1.40318860593335	-0.184674920069468	0.85348401867925	0.955573599621855
L1PA10_dup1119:L1PA10:L1:LINE	0.383967405396459	-2.28790194748784	4.03644857437325	-0.566810627048081	0.570842849711729	NA
L1PA10_dup1120:L1PA10:L1:LINE	1.72710290157484	1.75235569827643	1.97225205880174	0.888504940560734	0.374269199449787	0.670271673921735
L1PA10_dup1121:L1PA10:L1:LINE	1.58289261231263	-1.50116814124781	2.10298766936746	-0.713826411402275	0.475334525827157	0.75709768300886
L1PA10_dup1122:L1PA10:L1:LINE	2.64393471620433	1.38617406373829	1.62285623658593	0.854157030356826	0.393017988113414	0.68787980369793
L1PA10_dup1128:L1PA10:L1:LINE	0.685593601728195	2.71955315186861	3.28604077611568	0.827607853084314	0.407892619395698	NA
L1PA10_dup1130:L1PA10:L1:LINE	0.149380158218572	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1131:L1PA10:L1:LINE	0.128616810416482	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1144:L1PA10:L1:LINE	0.595788573696283	1.07225275606036	3.02923683878662	0.353967950716545	0.723362901898618	NA
L1PA10_dup1149:L1PA10:L1:LINE	0.277996968635054	1.41692452645929	4.04066764495781	0.350665942106724	0.725838979230773	NA
L1PA10_dup1152:L1PA10:L1:LINE	0.427868553874429	2.03440147018152	3.64821365232182	0.557643182132926	0.577088063138507	NA
L1PA10_dup1153:L1PA10:L1:LINE	0.128616810416482	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1171:L1PA10:L1:LINE	0.149380158218572	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1172:L1PA10:L1:LINE	1.53985642841464	3.88457565837236	2.27499339355418	1.70751074239542	0.0877271628476337	0.313972798388715
L1PA10_dup1179:L1PA10:L1:LINE	2.8852607064234	4.78657975920842	1.87456873661747	2.55342984533365	0.0106667764703009	0.0740815748089954
L1PA10_dup1181:L1PA10:L1:LINE	0.277996968635054	1.41692452645929	4.04066764495781	0.350665942106724	0.725838979230773	NA
L1PA10_dup1191:L1PA10:L1:LINE	0.149380158218572	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1197:L1PA10:L1:LINE	0.149380158218572	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup121:L1PA10:L1:LINE	0.128616810416482	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1223:L1PA10:L1:LINE	0.128616810416482	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1231:L1PA10:L1:LINE	0.377906861470999	-2.26590300332122	4.03840688480716	-0.561088337048391	0.574737318482858	NA
L1PA10_dup1232:L1PA10:L1:LINE	0.128616810416482	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1233:L1PA10:L1:LINE	0.278488395655857	1.41909482499357	4.04046979406256	0.351220253416799	0.725423116776151	NA
L1PA10_dup1234:L1PA10:L1:LINE	1.96697577715267	3.14928769534263	2.04280092270207	1.541651788162	0.123158233524666	0.381176401221779
L1PA10_dup1235:L1PA10:L1:LINE	2.14633528876963	0.445914207040515	1.73277101556284	0.257341681639148	0.796915018334929	0.933043982626494
L1PA10_dup1236:L1PA10:L1:LINE	1.00338520678942	2.04181242671822	2.68296820480253	0.761027440825933	0.446640677277962	NA
L1PA10_dup1237:L1PA10:L1:LINE	0.955155573564	0.609329835448733	2.39664469166245	0.254242874452144	0.799307929505558	NA
L1PA10_dup1244:L1PA10:L1:LINE	1.52007593465416	3.86778532657522	2.25583162743333	1.7145718144647	0.086423760006291	0.311118988702602
L1PA10_dup1255:L1PA10:L1:LINE	0.128616810416482	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1258:L1PA10:L1:LINE	0.149380158218572	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1261:L1PA10:L1:LINE	0.128616810416482	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1265:L1PA10:L1:LINE	4.17845871658437	1.42500220718135	1.24280242736798	1.14660397807496	0.251545331618554	0.535656816788805
L1PA10_dup1268:L1PA10:L1:LINE	0.743334405264177	-1.94732190695294	3.02047292349371	-0.64470761906401	0.519116677927007	NA
L1PA10_dup1274:L1PA10:L1:LINE	0.167920019821854	-1.37287210395379	4.0804728567969	-0.336449267556571	0.736532102458275	NA
L1PA10_dup1279:L1PA10:L1:LINE	0.128616810416482	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1281:L1PA10:L1:LINE	0.29974317047875	1.51243819683769	4.03222710146576	0.375087553051737	0.707595353627005	NA
L1PA10_dup1282:L1PA10:L1:LINE	1.34697255390503	2.5029388256167	2.25024487740346	1.11229619973841	0.266010817304767	0.555355767116008
L1PA10_dup1286:L1PA10:L1:LINE	0.703150609289871	1.40710926551879	3.06423130670368	0.459204650262672	0.64608721148317	NA
L1PA10_dup1288:L1PA10:L1:LINE	0.167920019821854	-1.37287210395379	4.0804728567969	-0.336449267556571	0.736532102458275	NA
L1PA10_dup128:L1PA10:L1:LINE	0.128616810416482	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1293:L1PA10:L1:LINE	0.149380158218572	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
